,Regionalbahn Ab Bodensee + Bottenschein,SAB,Technische Betriebsdienste Reutlingen,Bosch,EKPO GmbH,Schwörer Haus (5700 kW biomass),Schwörer Haus (560 kWp PV),Schwörer Haus (600 kWp PV),Beton Kemmler,SOWITEC (18 MW wind),SOWITEC (1.8 MW wind),SOWITEC (2 MWp PV),SolarComplex,HöRa Naturenergie GmbH,Bioenergie Aichelau GmbH & Co KG,Biogas Spohn,Stadtwerke Tübingen,Farinetz GmbH,Stadtwerke Mössingen,Green Innovation Park GmbH
Regionalbahn Ab Bodensee + Bottenschein,~,~,21 km,28 km,15 km,15 km,15 km,15 km,38 km,25 km,31 km,31 km,0.5 km,18 km,15 km,31 km,33 km,24 km,33 km,59 km
SAB,~,~,21 km,28 km,15 km,15 km,15 km,15 km,38 km,25 km,31 km,31 km,0.5 km,18 km,15 km,31 km,33 km,24 km,33 km,59 km
Technische Betriebsdienste Reutlingen,21 km,21 km,~,12 km,7 km,24 km,24 km,24 km,21 km ,20 km,30 km,30 km,21 km,30 km,15 km,30 km,16 km,9 km,23 km,50 km
Bosch,28 km,28 km,12 km,~,16 km,23 km,23 km,23 km,10 km,12 km,23 km,23 km,28 km,29 km,29 km,23 km,5 km,4 km,12 km,39 km
EKPO GmbH,15 km,15 km,7 km,16 km,~,21 km,21 km,21 km,27 km,21 km,31 km,31 km,15 km,26 km,25 km,31 km,21 km,13 km,26 km,54 km
Schwörer Haus (5700 kW biomass),15 km,15 km,24 km,23 km,21 km,~,~,~,31 km,15 km,17 km,17 km,15 km,6 km,6 km,17 km,28 km,21 km,23 km,46 km
Schwörer Haus (560 kWp PV),15 km,15 km,24 km,23 km,21 km,~,~,~,31 km,15 km,17 km,17 km,15 km,6 km,6 km,17 km,28 km,21 km,23 km,46 km
Schwörer Haus (600 kWp PV),15 km,15 km,24 km,23 km,21 km,~,~,~,31 km,15 km,17 km,17 km,15 km,6 km,6 km,17 km,28 km,21 km,23 km,46 km
Beton Kemmler,38 km,38 km,21 km ,10 km,27 km,31 km,31 km,31 km,~,17 km,25 km,25 km,38 km,36 km,37 km,25 km,6 km,14 km,11 km,36 km
SOWITEC (18 MW wind),25 km,25 km,20 km,12 km,21 km,15 km,15 km,15 km,17 km,~,11 km,11 km,25 km,20 km,21 km,11 km,15 km,12 km,8 km,34 km
SOWITEC (1.8 MW wind),31 km,31 km,30 km,23 km,31 km,17 km,17 km,17 km,25 km,11 km,~,~,31 km,20 km,21 km,~,25 km,23 km,14 km,30 km
SOWITEC (2 MWp PV),31 km,31 km,30 km,23 km,31 km,17 km,17 km,17 km,25 km,11 km,~,~,31 km,20 km,21 km,~,25 km,23 km,14 km,30 km
SolarComplex,0.5 km,0.5 km,21 km,28 km,15 km,15 km,15 km,15 km,38 km,25 km,31 km,31 km,~,20 km,16 km,31 km,33 km,24 km,33 km,59 km
HöRa Naturenergie GmbH,18 km,18 km,30 km,29 km,26 km,6 km,6 km,6 km,36 km,20 km,20 km,20 km,20 km,~,3 km,20 km,34 km,27 km,27 km,48 km
Bioenergie Aichelau GmbH & Co KG,15 km,15 km,15 km,29 km,25 km,6 km,6 km,6 km,37 km,21 km,21 km,21 km,16 km,3 km,~,21 km,34 km,27 km ,28 km,50 km
Biogas Spohn,31 km,31 km,30 km,23 km,31 km,17 km,17 km,17 km,25 km,11 km,~,~,31 km,20 km,21 km,~,25 km,23 km,14 km,30 km
Stadtwerke Tübingen,33 km,33 km,16 km,5 km,21 km,28 km,28 km,28 km,6 km,15 km,25 km,25 km,33 km,34 km,34 km,25 km,~,9 km,12 km,36 km
Farinetz GmbH,24 km,24 km,9 km,4 km,13 km,21 km,21 km,21 km,14 km,12 km,23 km,23 km,24 km,27 km,27 km ,23 km,9 km,~,14 km,42 km
Stadtwerke Mössingen,33 km,33 km,23 km,12 km,26 km,23 km,23 km,23 km,11 km,8 km,14 km,14 km,33 km,27 km,28 km,14 km,12 km,14 km,~,28 km
Green Innovation Park GmbH,59 km,59 km,50 km,39 km,54 km,46 km,46 km,46 km,36 km,34 km,30 km,30 km,59 km,48 km,50 km,30 km,36 km,42 km,28 km,~
